Include On Export,Export Containing Keywords,Export Synonyms,Person Type Keyword,
Y,Y,Y,N,		NT_109M
Y,Y,Y,N,		NT_110
Y,Y,Y,N,		NT_110A
Y,Y,Y,N,		NT_111
Y,Y,Y,N,		NT_112A
Y,Y,Y,N,		NT_112M
Y,Y,Y,N,		NT_112S
Y,Y,Y,N,		NT_113
Y,Y,Y,N,		NT_114A
Y,Y,Y,N,		NT_114B
Y,Y,Y,N,		NT_115
Y,Y,Y,N,		NT_140M
Y,Y,Y,N,		NT_301
Y,Y,Y,N,		NT_301M
Y,Y,Y,N,		NT_302
Y,Y,Y,N,		NT_308A
Y,Y,Y,N,		NT_308M
Y,Y,Y,N,		NT_310M
Y,Y,Y,N,		NT_312
Y,Y,Y,N,		NT_313
Y,Y,Y,N,		NT_401
Y,Y,Y,N,		NT_402S
Y,Y,Y,N,		NT_403
Y,Y,Y,N,		NT_403A
Y,Y,Y,N,		NT_403P
Y,Y,Y,N,		NT_403X
Y,Y,Y,N,		NT_404M
Y,Y,Y,N,		NT_405
Y,Y,Y,N,		NT_406
Y,Y,Y,N,		NT_407
Y,Y,Y,N,		NT_407A
Y,Y,Y,N,		NT_407B
Y,Y,Y,N,		NT_409
Y,Y,Y,N,		NT_409K
Y,Y,Y,N,		NT_409S
Y,Y,Y,N,		NT_410
Y,Y,Y,N,		NT_411
Y,Y,Y,N,		NT_412
Y,Y,Y,N,		NT_413
Y,Y,Y,N,		NT_481
Y,Y,Y,N,		NT_481A
Y,Y,Y,N,		NT_481B
Y,Y,Y,N,		NT_482
Y,Y,Y,N,		NT_501A
Y,Y,Y,N,		NT_501K
Y,Y,Y,N,		NT_501S
Y,Y,Y,N,		NT_502
Y,Y,Y,N,		NT_601
Y,Y,Y,N,		NT_601B
Y,Y,Y,N,		NT_601C
Y,Y,Y,N,		NT_602
Y,Y,Y,N,		NT_602C
Y,Y,Y,N,		NT_603
Y,Y,Y,N,		NT_604
Y,Y,Y,N,		NT_605
Y,Y,Y,N,		NT_606S
Y,Y,Y,N,		NT_608
Y,Y,Y,N,		NT_609
Y,Y,Y,N,		NT_609B
Y,Y,Y,N,		NT_610S
Y,Y,Y,N,		NT_611
Y,Y,Y,N,		NT_611A
Y,Y,Y,N,		NT_611B
Y,Y,Y,N,		NT_611P
Y,Y,Y,N,		NT_616S
Y,Y,Y,N,		NT_618
Y,Y,Y,N,		NT_620
Y,Y,Y,N,		NT_621
Y,Y,Y,N,		NT_622
Y,Y,Y,N,		NT_623
Y,Y,Y,N,		NT_801
Y,Y,Y,N,		NT_803
Y,Y,Y,N,		NT_803K
Y,Y,Y,N,		NT_803M
Y,Y,Y,N,		NT_804
Y,Y,Y,N,		NT_804A
Y,Y,Y,N,		NT_805S
Y,Y,Y,N,		NT_806A
Y,Y,Y,N,		NT_806B
Y,Y,Y,N,		NT_807A
Y,Y,Y,N,		NT_807B
Y,Y,Y,N,		NT_807C
Y,Y,Y,N,		NT_807K
Y,Y,Y,N,		NT_807S
Y,Y,Y,N,		NT_807X
Y,Y,Y,N,		NT_808
Y,Y,Y,N,		NT_808A
Y,Y,Y,N,		NT_808P
Y,Y,Y,N,		NT_809K
Y,Y,Y,N,		NT_810
Y,Y,Y,N,		NT_810A
Y,Y,Y,N,		NT_811
Y,Y,Y,N,		NT_811A
Y,Y,Y,N,		NT_811B
Y,Y,Y,N,		NT_811P
Y,Y,Y,N,		NT_811S
Y,Y,Y,N,		NT_812
Y,Y,Y,N,		NT_812A
Y,Y,Y,N,		NT_813
Y,Y,Y,N,		NT_813A
Y,Y,Y,N,		NT_814
Y,Y,Y,N,		NT_901
Y,Y,Y,N,	Hire
Y,Y,Y,N,	HR
Y,Y,Y,N,		HR36
Y,Y,Y,N,		HR42
Y,Y,Y,N,		HR44
Y,Y,Y,N,		HR45
Y,Y,Y,N,		HR46
Y,Y,Y,N,		HR48
Y,Y,Y,N,		HR49
Y,Y,Y,N,		HR50
Y,Y,Y,N,		HR51
Y,Y,Y,N,		HR53
Y,Y,Y,N,		HR54
Y,Y,Y,N,		HR55
Y,Y,Y,N,		HR56
Y,Y,Y,N,		HR57
Y,Y,Y,N,		HR58
Y,Y,Y,N,		HR59
Y,Y,Y,N,		HR60
Y,Y,Y,N,		HR62
Y,Y,Y,N,		HR64
Y,Y,Y,N,		HR65
Y,Y,Y,N,		HR66
Y,Y,Y,N,		HR67
Y,Y,Y,N,		HR68
Y,Y,Y,N,		HR69
Y,Y,Y,N,		HR70
Y,Y,Y,N,		HR71
Y,Y,Y,N,		HR72
Y,Y,Y,N,		HR73
Y,Y,Y,N,		HR74
Y,Y,Y,N,		HR75
Y,Y,Y,N,		HR76
Y,Y,Y,N,		HR77
Y,Y,Y,N,		HR78
Y,Y,Y,N,		HR79
Y,Y,Y,N,		HR80
Y,Y,Y,N,		HR81
Y,Y,Y,N,		HR82
Y,Y,Y,N,		HR84
Y,Y,Y,N,		HR85
Y,Y,Y,N,		HR86
Y,Y,Y,N,		HR87
Y,Y,Y,N,		HR88
Y,Y,Y,N,		HR89
Y,Y,Y,N,		HR90
Y,Y,Y,N,		HR91
Y,Y,Y,N,		HR92
Y,Y,Y,N,		HR93
Y,Y,Y,N,		HR94
Y,Y,Y,N,	KR
Y,Y,Y,N,		KR11
Y,Y,Y,N,		KR12
Y,Y,Y,N,		KR13
Y,Y,Y,N,		KR14
Y,Y,Y,N,		KR15
Y,Y,Y,N,		KR16
Y,Y,Y,N,		KR17
Y,Y,Y,N,		KR18
Y,Y,Y,N,		KR21
Y,Y,Y,N,		KR22
Y,Y,Y,N,		KR41
Y,Y,Y,N,		KR42
Y,Y,Y,N,		KR44
Y,Y,Y,N,		KR51
Y,Y,Y,N,		KR52
Y,Y,Y,N,		KR53
Y,Y,Y,N,		KR54
Y,Y,Y,N,		KR55
Y,Y,Y,N,		KR56
Y,Y,Y,N,	LRT
Y,Y,Y,N,		505_SAS
Y,Y,Y,N,		507_TNK
Y,Y,Y,N,		610_YLL
Y,Y,Y,N,	NR
Y,Y,Y,N,		NR0xx
Y,Y,Y,N,			NR04
Y,Y,Y,N,			NR05
Y,Y,Y,N,			NR06
Y,Y,Y,N,		NR1xx
Y,Y,Y,N,			NR10
Y,Y,Y,N,			NR13
Y,Y,Y,N,			NR14
Y,Y,Y,N,			NR17
Y,Y,Y,N,			NR18
Y,Y,Y,N,			NR19
Y,Y,Y,N,			NR101
Y,Y,Y,N,			NR104
Y,Y,Y,N,			NR109
Y,Y,Y,N,			NR110
Y,Y,Y,N,			NR111
Y,Y,Y,N,			NR112
Y,Y,Y,N,			NR115
Y,Y,Y,N,			NR116
Y,Y,Y,N,		NR2xx
Y,Y,Y,N,			NR20
Y,Y,Y,N,			NR21
Y,Y,Y,N,			NR22
Y,Y,Y,N,			NR23
Y,Y,Y,N,			NR24
Y,Y,Y,N,			NR25
Y,Y,Y,N,			NR26
Y,Y,Y,N,			NR27
Y,Y,Y,N,			NR28
Y,Y,Y,N,			NR29
Y,Y,Y,N,			NR207
Y,Y,Y,N,			NR211
Y,Y,Y,N,			NR212
Y,Y,Y,N,			NR214
Y,Y,Y,N,		NR3xx
Y,Y,Y,N,			NR30
